Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.3332-9710-5998-68514,"Dec 1, 2018",12:55:38 AM PST,,Charge,,Complete guide of Vatican Museums (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,itinerary_one,dreamlte,FR,,31490,EUR,1.74,1.000000,EUR,1.74
GPA.3306-9858-1939-41134,"Dec 1, 2018",2:04:30 AM PST,,Charge,,Guía completa de Museos Vaticanos+Audioguide (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,audioguide_itinerary1,dreamlte,IT,AG,92025,EUR,2.00,1.000000,EUR,2.00
GPA.3348-7295-1666-78588,"Dec 1, 2018",6:50:07 AM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,dream2lte,FR,,77000,EUR,2.91,1.000000,EUR,2.91
GPA.3325-5818-4943-06585,"Dec 1, 2018",9:43:06 PM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,marlin,US,WA,98004,USD,5.99,0.883550,EUR,5.29
GPA.3325-5818-4943-06585,"Dec 1, 2018",9:43:06 PM PST,,Google fee,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,marlin,US,WA,98004,USD,-1.80,0.883550,EUR,-1.59
GPA.3350-1289-1902-18924,"Dec 2, 2018",2:53:52 AM PST,,Charge,,Montmartre (Paris Guide Tours),com.tourblink.app,1,itinerary_two,herolte,FR,,06400,EUR,0.58,1.000000,EUR,0.58
GPA.3352-8049-2201-12073,"Dec 2, 2018",4:09:23 AM PST,,Charge,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,star2qltesq,US,CA,94947,USD,1.49,0.883550,EUR,1.31
GPA.3352-8049-2201-12073,"Dec 2, 2018",4:09:23 AM PST,,Google fee,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,star2qltesq,US,CA,94947,USD,-0.45,0.883550,EUR,-0.40
GPA.3352-8049-2201-12073,"Dec 2, 2018",4:09:23 AM PST,Third-party Tax,Tax,,The Louvre in 60 mins + Audioguide (Louvre Guide Tours),com.tourblink.louvre,1,audioguide_itinerary2_new,star2qltesq,US,CA,94947,USD,0.12,0.883550,EUR,0.11
GPA.3340-8986-3168-76684,"Dec 2, 2018",6:33:29 AM PST,,Charge,,Les principales chefs d'œuvres (Musée du Louvre visites guidées),com.tourblink.louvre,1,itinerary_one_new,dreamlte,FR,,33000,EUR,1.16,1.000000,EUR,1.16
GPA.3343-5908-9617-92983,"Dec 2, 2018",7:43:25 AM PST,,Charge,,Buy all (Orsay Museum Guide Tours),com.tourblink.museeorsay,1,buy_all,gts210vewifi,DE,,14469,EUR,2.93,1.000000,EUR,2.93
GPA.3384-1480-3650-70081,"Dec 2, 2018",8:16:07 AM PST,,Charge,,Arte en la calle (Roma Guide Tours),com.tourblink.roma,1,itinerary_sixth,star2qltechn,AR,Tucumán,4000,USD,1.12,0.883550,EUR,0.99
GPA.3384-1480-3650-70081,"Dec 2, 2018",8:16:07 AM PST,,Google fee,,Arte en la calle (Roma Guide Tours),com.tourblink.roma,1,itinerary_sixth,star2qltechn,AR,Tucumán,4000,USD,-0.34,0.883550,EUR,-0.30
GPA.3393-4794-2828-92744,"Dec 3, 2018",2:14:59 AM PST,,Charge,,Louvre in half day (BR) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,dreamlte,BR,DF,70680250,BRL,12.99,0.227430,EUR,2.95
GPA.3393-4794-2828-92744,"Dec 3, 2018",2:14:59 AM PST,,Google fee,,Louvre in half day (BR) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,dreamlte,BR,DF,70680250,BRL,-3.90,0.227430,EUR,-0.89
GPA.3393-4794-2828-92744,"Dec 3, 2018",2:14:59 AM PST,Brazil CIDE Withholding Tax,Tax,,Louvre in half day (BR) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,dreamlte,BR,DF,70680250,EUR,0.09,1.000000,EUR,0.09
GPA.3393-4794-2828-92744,"Dec 3, 2018",2:14:59 AM PST,Brazil CIDE Withholding Tax,Tax,,Louvre in half day (BR) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,dreamlte,BR,DF,70680250,EUR,-0.30,1.000000,EUR,-0.30
GPA.3393-4794-2828-92744,"Dec 3, 2018",2:14:59 AM PST,Brazil IRRF Withholding Tax,Tax,,Louvre in half day (BR) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,dreamlte,BR,DF,70680250,EUR,-0.44,1.000000,EUR,-0.44
GPA.3393-4794-2828-92744,"Dec 3, 2018",2:14:59 AM PST,Brazil IRRF Withholding Tax,Tax,,Louvre in half day (BR) (Louvre Guide Tours),com.tourblink.louvre,1,itinerary_fifth_new,dreamlte,BR,DF,70680250,EUR,0.13,1.000000,EUR,0.13
GPA.3323-8470-8802-35799,"Dec 3, 2018",3:31:05 AM PST,,Charge,,"Le Louvre dans une demie journée (Paris visites guidées, tours et guide)",com.tourblink.app,1,itinerary_fifth,herolte,FR,,06400,EUR,1.74,1.000000,EUR,1.74
GPA.3345-7255-0317-44431,"Dec 3, 2018",4:34:03 AM PST,,Charge,,Unlock all the itineraries and audioguides (Louvre Guide Tours),com.tourblink.louvre,1,buy_all,starlte,IT,PI,56123,EUR,2.86,1.000000,EUR,2.86
GPA.3339-0203-6569-14790,"Dec 4, 2018",9:38:03 AM PST,,Charge,,Montmartre (Paris Guide Tours),com.tourblink.app,1,itinerary_two,HWFRD,FR,,75014,EUR,0.58,1.000000,EUR,0.58
GPA.3344-3475-2935-47908,"Dec 4, 2018",11:54:18 AM PST,,Charge,,Louvre in half day (FR) (Musée du Louvre visites guidées),com.tourblink.louvre,1,itinerary_fifth_new,OnePlus3T,FR,,47200,EUR,1.74,1.000000,EUR,1.74
GPA.3320-0390-3509-79754,"Dec 4, 2018",11:48:44 PM PST,,Charge,,Guía completa de Museos Vaticanos+Audioguide (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,audioguide_itinerary1,HWBND-H,US,MN,55447,USD,3.99,0.883400,EUR,3.52
GPA.3320-0390-3509-79754,"Dec 4, 2018",11:48:44 PM PST,,Google fee,,Guía completa de Museos Vaticanos+Audioguide (Vatican Museums Guide Tour),com.tourblink.vaticanmuseums,1,audioguide_itinerary1,HWBND-H,US,MN,55447,USD,-1.20,0.883400,EUR,-1.06
